profile_id,risk,mean,std,median,mean_rank,rank_std,top3_freq,top3_pct,top5_freq,top5_pct,top10_freq,top10_pct
P1,Knowledge analysis / Human / Annotation errors,0.0027726180536075586,0.0004546350839649728,0.002698336602859006,17.790575916230367,1.134012559487073,0,0.0,0,0.0,0,0.0
P1,Knowledge analysis / Human / Inappropriate model architecture,0.021927853185344136,0.0037201447632768847,0.02185057333651972,9.44502617801047,1.9241817120778424,0,0.0,0,0.0,140,73.29842931937172
P1,Knowledge analysis / Human / Lack of uncertainty estimation,0.021884896992759518,0.0036555929905797238,0.0215706926036262,9.356020942408376,1.9141120669378315,0,0.0,0,0.0,142,74.3455497382199
P1,Knowledge analysis / Technological / Incorrect spatial-geometric interpretation,0.32357096479327074,0.03361591517960656,0.32369515855770997,1.0052356020942408,0.07216779451356137,191,100.0,191,100.0,191,100.0
P1,Knowledge analysis / Technological / Reliance on spurious features,0.04153755021779297,0.0060900629849292105,0.04122778304294383,5.350785340314136,0.6032086204499183,0,0.0,133,69.63350785340315,191,100.0
P1,Knowledge selection / Human / Data representativeness,0.01928549132114674,0.002161620282236014,0.019198638062820014,11.036649214659686,1.452103467058696,0,0.0,0,0.0,61,31.93717277486911
P1,Knowledge selection / Human / Dataset bias,0.019099498703306877,0.0023392176902098413,0.01896173671174846,11.151832460732985,1.5359511244656674,0,0.0,0,0.0,55,28.79581151832461
P1,Knowledge selection / Human / Limited scene diversity,0.0024322401982431554,0.00032559353405821264,0.002412411213136755,18.858638743455497,0.9952327362665685,0,0.0,0,0.0,0,0.0
P1,Knowledge selection / Human / Scale mismatch,0.002456223383486854,0.0003213242435819542,0.0024233268571800404,18.57591623036649,0.9671278107916927,0,0.0,0,0.0,0,0.0
P1,Knowledge selection / Human / Temporal bias,0.0024671496352385077,0.0003581105407038695,0.002425631216860626,18.774869109947645,1.0368078571297645,0,0.0,0,0.0,0,0.0
P1,Model Training / Human / Domain shift,0.023870760568978074,0.005190848365578403,0.023253482656083062,8.287958115183246,1.9725369739066765,0,0.0,2,1.0471204188481675,166,86.91099476439791
P1,Model Training / Human / Incomplete validation criteria,0.023854491140507396,0.004872593787705627,0.02348191377065852,9.109947643979057,1.8570526378852723,0,0.0,0,0.0,160,83.7696335078534
P1,Model Training / Technological / Catastrophic forgetting,0.017385929960837602,0.002809343272061038,0.01709721497256796,12.345549738219896,1.720212024673056,0,0.0,0,0.0,28,14.659685863874344
P1,Model Training / Technological / Confabulations,0.15450897805731015,0.020356810562329457,0.15362918498174874,2.492146596858639,0.5204620374590856,189,98.95287958115183,191,100.0,191,100.0
P1,Model Training / Technological / Confidence miscalibration,0.15599690875994718,0.022008644297989627,0.15598070475460987,2.5340314136125652,0.5391907636833714,188,98.42931937172776,191,100.0,191,100.0
P1,Model Training / Technological / Overfitting,0.036618859300048406,0.006135645407850356,0.036203919837345305,5.848167539267016,0.7257307515622131,0,0.0,56,29.31937172774869,191,100.0
P1,Model operation / Human / Loss of situational awareness,0.014677154658967078,0.0027415927331241306,0.014279299589656493,13.481675392670157,1.3569403986231015,0,0.0,0,0.0,9,4.712041884816754
P1,Model operation / Technological / Cascading error propagation,0.09215893813003599,0.01398112204127781,0.09052049361614734,3.968586387434555,0.20223254362123524,5,2.6178010471204187,191,100.0,191,100.0
P1,Model operation / Technological / Concept drift,0.011667724223736851,0.002230851747516441,0.011463167046057939,15.471204188481675,0.8730749145832809,0,0.0,0,0.0,1,0.5235602094240838
P1,Model operation / Technological / Sensor artifacts,0.011825768715434138,0.0023198570737746095,0.011698874859053068,15.115183246073299,0.9747223220816953,0,0.0,0,0.0,2,1.0471204188481675
P2,Knowledge analysis / Human / Annotation errors,0.0007578985337676663,0.00018379403483966315,0.0007340120704672304,20.0,0.0,0,0.0,0,0.0,0,0.0
P2,Knowledge analysis / Human / Inappropriate model architecture,0.005945785934860038,0.0014336191279326045,0.005732191809771095,15.316939890710383,1.0753509691116603,0,0.0,0,0.0,0,0.0
