profile_id,sample_index,sample_seed,accepted,max_cr,offending_paths,error,top3,top5,top10
P4,0,18400042,True,0.04533524727633617,,,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Loss of situational awareness|Model operation / Human / Policy misconfiguration,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Loss of situational awareness|Model operation / Human / Policy misconfiguration|Model training / Technological / Confidence miscalibration|Model training / Technological / Selective prediction / refusal failure,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Loss of situational awareness|Model operation / Human / Policy misconfiguration|Model training / Technological / Confidence miscalibration|Model training / Technological / Selective prediction / refusal failure|Model operation / Technological / Collective robustness loss|Model operation / Technological / Fallback failure / controlled degradation failure|Knowledge analysis / Technological / Spatial frame / map mismatch|Model training / Technological / Domain shift as technological robustness failure|Model training / Technological / Noise/blur/compression fragility
P4,1,18400043,True,0.051776842043817196,,,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Policy misconfiguration|Model training / Technological / Confidence miscalibration,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Policy misconfiguration|Model training / Technological / Confidence miscalibration|Model training / Technological / Selective prediction / refusal failure|Model operation / Human / Loss of situational awareness,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Policy misconfiguration|Model training / Technological / Confidence miscalibration|Model training / Technological / Selective prediction / refusal failure|Model operation / Human / Loss of situational awareness|Model operation / Technological / Fallback failure / controlled degradation failure|Model operation / Technological / Collective robustness loss|Model training / Technological / Noise/blur/compression fragility|Model training / Technological / Domain shift as technological robustness failure|Knowledge analysis / Technological / Pseudo-quantification risk
P4,2,18400044,True,0.04971811404822371,,,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Policy misconfiguration|Model operation / Human / Loss of situational awareness,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Policy misconfiguration|Model operation / Human / Loss of situational awareness|Model training / Technological / Confidence miscalibration|Model training / Technological / Selective prediction / refusal failure,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Policy misconfiguration|Model operation / Human / Loss of situational awareness|Model training / Technological / Confidence miscalibration|Model training / Technological / Selective prediction / refusal failure|Model operation / Technological / Fallback failure / controlled degradation failure|Model operation / Technological / Collective robustness loss|Model training / Technological / Noise/blur/compression fragility|Model training / Technological / Domain shift as technological robustness failure|Model training / Technological / Overfitting
P4,3,18400045,True,0.03578507508933097,,,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Loss of situational awareness|Model training / Technological / Selective prediction / refusal failure,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Loss of situational awareness|Model training / Technological / Selective prediction / refusal failure|Model operation / Human / Policy misconfiguration|Model training / Technological / Confidence miscalibration,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Loss of situational awareness|Model training / Technological / Selective prediction / refusal failure|Model operation / Human / Policy misconfiguration|Model training / Technological / Confidence miscalibration|Model operation / Technological / Collective robustness loss|Model training / Technological / Overfitting|Model operation / Technological / Fallback failure / controlled degradation failure|Model training / Technological / Domain shift as technological robustness failure|Model training / Technological / Noise/blur/compression fragility
P4,4,18400046,True,0.033149129331146755,,,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Loss of situational awareness|Model operation / Human / Policy misconfiguration,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Loss of situational awareness|Model operation / Human / Policy misconfiguration|Model training / Technological / Confidence miscalibration|Model training / Technological / Selective prediction / refusal failure,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Loss of situational awareness|Model operation / Human / Policy misconfiguration|Model training / Technological / Confidence miscalibration|Model training / Technological / Selective prediction / refusal failure|Model operation / Technological / Collective robustness loss|Model operation / Technological / Fallback failure / controlled degradation failure|Model training / Technological / Domain shift as technological robustness failure|Model training / Technological / Overfitting|Model training / Technological / Noise/blur/compression fragility
P4,5,18400047,True,0.04998730237906889,,,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Loss of situational awareness|Model operation / Human / Policy misconfiguration,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Loss of situational awareness|Model operation / Human / Policy misconfiguration|Model operation / Technological / Fallback failure / controlled degradation failure|Model operation / Technological / Collective robustness loss,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Loss of situational awareness|Model operation / Human / Policy misconfiguration|Model operation / Technological / Fallback failure / controlled degradation failure|Model operation / Technological / Collective robustness loss|Model training / Technological / Selective prediction / refusal failure|Model training / Technological / Confidence miscalibration|Knowledge analysis / Technological / Correlated errors x interaction graph omission|Knowledge analysis / Technological / Spatial frame / map mismatch|Knowledge analysis / Technological / Representation mismatch for swarm needs
P4,6,18400048,True,0.05710032638416471,,,Knowledge analysis / Technological / Reliance on spurious features|Model training / Technological / Confidence miscalibration|Model operation / Human / Policy misconfiguration,Knowledge analysis / Technological / Reliance on spurious features|Model training / Technological / Confidence miscalibration|Model operation / Human / Policy misconfiguration|Model operation / Human / Loss of situational awareness|Model training / Technological / Selective prediction / refusal failure,Knowledge analysis / Technological / Reliance on spurious features|Model training / Technological / Confidence miscalibration|Model operation / Human / Policy misconfiguration|Model operation / Human / Loss of situational awareness|Model training / Technological / Selective prediction / refusal failure|Model operation / Technological / Collective robustness loss|Model operation / Technological / Fallback failure / controlled degradation failure|Model training / Technological / Overfitting|Model training / Technological / Noise/blur/compression fragility|Model training / Technological / Domain shift as technological robustness failure
P4,7,18400049,True,0.05099541979603663,,,Knowledge analysis / Technological / Reliance on spurious features|Model training / Technological / Confidence miscalibration|Model training / Technological / Selective prediction / refusal failure,Knowledge analysis / Technological / Reliance on spurious features|Model training / Technological / Confidence miscalibration|Model training / Technological / Selective prediction / refusal failure|Model operation / Technological / Fallback failure / controlled degradation failure|Model operation / Technological / Collective robustness loss,Knowledge analysis / Technological / Reliance on spurious features|Model training / Technological / Confidence miscalibration|Model training / Technological / Selective prediction / refusal failure|Model operation / Technological / Fallback failure / controlled degradation failure|Model operation / Technological / Collective robustness loss|Model operation / Human / Policy misconfiguration|Model operation / Human / Loss of situational awareness|Model training / Technological / Noise/blur/compression fragility|Model training / Technological / Overfitting|Model training / Technological / Domain shift as technological robustness failure
P4,8,18400050,True,0.04043142987217662,,,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Loss of situational awareness|Model operation / Human / Policy misconfiguration,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Loss of situational awareness|Model operation / Human / Policy misconfiguration|Model training / Technological / Confidence miscalibration|Model training / Technological / Selective prediction / refusal failure,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Loss of situational awareness|Model operation / Human / Policy misconfiguration|Model training / Technological / Confidence miscalibration|Model training / Technological / Selective prediction / refusal failure|Model operation / Technological / Fallback failure / controlled degradation failure|Model operation / Technological / Collective robustness loss|Model training / Technological / Overfitting|Model training / Technological / Domain shift as technological robustness failure|Model training / Technological / Noise/blur/compression fragility
P4,9,18400051,True,0.04112743754485599,,,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Policy misconfiguration|Model training / Technological / Confidence miscalibration,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Policy misconfiguration|Model training / Technological / Confidence miscalibration|Model operation / Human / Loss of situational awareness|Model training / Technological / Selective prediction / refusal failure,Knowledge analysis / Technological / Reliance on spurious features|Model operation / Human / Policy misconfiguration|Model training / Technological / Confidence miscalibration|Model operation / Human / Loss of situational awareness|Model training / Technological / Selective prediction / refusal failure|Model operation / Technological / Fallback failure / controlled degradation failure|Model operation / Technological / Collective robustness loss|Model training / Technological / Domain shift as technological robustness failure|Model training / Technological / Noise/blur/compression fragility|Knowledge analysis / Technological / Spatial frame / map mismatch
